Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,PHEV Total Range,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Number of Passengers
Sedan/Wagon,NSX,2022.0,Acura,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,21.0,22.0,21.0,Auto,0
Sedan/Wagon,A3 ,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,29.0,38.0,32.0,Auto,0
Sedan/Wagon,A3 quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,28.0,36.0,31.0,Auto,0
Sedan/Wagon,A4 allroad quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,24.0,30.0,26.0,Auto,0
Sedan/Wagon,A4 quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,26.0,34.0,29.0,Auto,0
Sedan/Wagon,A4 S line quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,24.0,31.0,27.0,Auto,0
Sedan/Wagon,A5 Cabriolet quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,23.0,31.0,26.0,Auto,0
Sedan/Wagon,A5 Coupe quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,24.0,31.0,27.0,Auto,0
Sedan/Wagon,A5 Sportback quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,26.0,34.0,29.0,Auto,0
Sedan/Wagon,A5 Sportback S line quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,24.0,31.0,27.0,Auto,0
Sedan/Wagon,A6 Allroad quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,21.0,28.0,23.0,Auto,0
Sedan/Wagon,A6 quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,21.0,30.0,24.0,Auto,0
Sedan/Wagon,A6 quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,23.0,33.0,26.0,Auto,0
Sedan/Wagon,A7 quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,21.0,30.0,24.0,Auto,0
Sedan/Wagon,A7 TFSI e quattro,2022.0,Audi,Plug-in Hybrid Electric,26.0,410.0,0.0,0.0,70.0,25.0,31.0,27.0,Auto,0
Sedan/Wagon,A8L quattro,2022.0,Audi,Hybrid Electric,0.0,0.0,0.0,0.0,0.0,19.0,28.0,22.0,Auto,0
Sedan/Wagon,e-tron GT,2022.0,Audi,Electric,238.0,0.0,81.0,83.0,82.0,0.0,0.0,0.0,Auto,0
SUV,e-tron quattro,2022.0,Audi,Electric,222.0,0.0,78.0,77.0,78.0,0.0,0.0,0.0,Auto,0
SUV,"e-tron S (20"" wheels)",2022.0,Audi,Electric,208.0,0.0,72.0,75.0,73.0,0.0,0.0,0.0,Auto,0
