Category,Model,Model Year,Manufacturer,Fuel,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Transmission Type,Engine Type,Number of Passengers,Heavy-Duty Power System,Notes,Drivetrain
SUV,Escalade 2WD,2022.0,Cadillac,Biodiesel (B20),,,,21.0,27.0,23.0,Auto,CI,,,,RWD
SUV,Escalade 4WD,2022.0,Cadillac,Biodiesel (B20),,,,20.0,26.0,22.0,Auto,CI,,,,4WD
Pickup,Colorado 2WD,2022.0,Chevrolet,Biodiesel (B20),,,,20.0,30.0,23.0,Auto,CI,,,,RWD
Pickup,Colorado 4WD,2022.0,Chevrolet,Biodiesel (B20),,,,19.0,28.0,22.0,Auto,CI,,,,4WD
Pickup,Colorado ZR2 4WD,2022.0,Chevrolet,Biodiesel (B20),,,,18.0,22.0,19.0,Auto,CI,,,,4WD
Pickup,Silverado 2WD,2022.0,Chevrolet,Ethanol (E85),11.0,15.0,12.0,15.0,19.0,16.0,Auto,SI,,,,RWD
Pickup,Silverado 2WD,2022.0,Chevrolet,Biodiesel (B20),,,,23.0,31.0,26.0,Auto,CI,,,,RWD
Pickup,Silverado 4WD,2022.0,Chevrolet,Ethanol (E85),11.0,13.0,12.0,14.0,16.0,15.0,Auto,SI,,,,4WD
Pickup,Silverado 4WD,2022.0,Chevrolet,Biodiesel (B20),,,,22.0,26.0,23.0,Auto,CI,,,Transmission with Sport Mode.,4WD
Pickup,Silverado 4WD,2022.0,Chevrolet,Biodiesel (B20),,,,22.0,26.0,24.0,Auto,CI,,,,4WD
Pickup,Silverado 4WD - Mud Terrain Tires,2022.0,Chevrolet,Biodiesel (B20),,,,20.0,23.0,21.0,Auto,CI,,,,4WD
Pickup,Silverado 4WD - Mud Terrain Tires,2022.0,Chevrolet,Ethanol (E85),10.0,12.0,11.0,14.0,16.0,15.0,Auto,SI,,,,4WD
SUV,Suburban 2WD,2022.0,Chevrolet,Biodiesel (B20),,,,21.0,27.0,23.0,Auto,CI,,,,RWD
SUV,Suburban 4WD,2022.0,Chevrolet,Biodiesel (B20),,,,20.0,26.0,22.0,Auto,CI,,,,4WD
SUV,Tahoe 2WD,2022.0,Chevrolet,Biodiesel (B20),,,,21.0,28.0,24.0,Auto,CI,,,,RWD
SUV,Tahoe 4WD,2022.0,Chevrolet,Biodiesel (B20),,,,20.0,26.0,22.0,Auto,CI,,,,4WD
SUV,Explorer AWD FFV,2022.0,Ford,Ethanol (E85),11.0,15.0,13.0,16.0,24.0,19.0,Auto,SI,,,,AWD
Pickup,F-150 2WD FFV,2022.0,Ford,Ethanol (E85),14.0,18.0,16.0,19.0,24.0,21.0,Auto,SI,,,,RWD
Pickup,F-150 2WD FFV - Without Start/Stop,2022.0,Ford,Ethanol (E85),12.0,18.0,14.0,17.0,24.0,19.0,Auto,SI,,,,RWD
Pickup,F-150 2WD FFV - With Start/Stop,2022.0,Ford,Ethanol (E85),11.0,18.0,14.0,17.0,24.0,20.0,Auto,SI,,,,RWD
Pickup,F-150 4WD FFV,2022.0,Ford,Ethanol (E85),14.0,18.0,15.0,19.0,22.0,20.0,Auto,SI,,,,4WD
Pickup,F-150 4WD FFV - Without Start/Stop,2022.0,Ford,Ethanol (E85),12.0,17.0,14.0,16.0,22.0,18.0,Auto,SI,,,,4WD
Pickup,F-150 4WD FFV - With Start/Stop,2022.0,Ford,Ethanol (E85),11.0,17.0,13.0,16.0,22.0,19.0,Auto,SI,,,,4WD
Van,Transit Connect Van FFV,2022.0,Ford,Ethanol (E85),18.0,20.0,19.0,24.0,27.0,25.0,Auto,SI,,,This vehicle is only available in certain states. See dealer for details.,FWD
Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2022.0,Ford,Ethanol (E85),16.0,21.0,18.0,24.0,28.0,26.0,Auto,SI,,,This vehicle is only available in certain states. See dealer for details.,FWD
Van,Transit T150 Passenger Van 2WD FFV,2022.0,Ford,Ethanol (E85),11.0,15.0,12.0,15.0,19.0,17.0,Auto,SI,,,,RWD
Van,Transit T150 Passenger Van 4WD FFV,2022.0,Ford,Ethanol (E85),11.0,14.0,12.0,14.0,18.0,16.0,Auto,SI,,,,4WD
Pickup,Canyon 2WD,2022.0,GMC,Biodiesel (B20),,,,20.0,30.0,23.0,Auto,CI,,,,RWD
Pickup,Canyon 4WD,2022.0,GMC,Biodiesel (B20),,,,19.0,28.0,22.0,Auto,CI,,,,4WD
Pickup,Sierra 2WD,2022.0,GMC,Ethanol (E85),11.0,15.0,12.0,15.0,19.0,16.0,Auto,SI,,,,RWD
Pickup,Sierra 2WD,2022.0,GMC,Biodiesel (B20),,,,23.0,30.0,26.0,Auto,CI,,,,RWD
Pickup,Sierra 4WD,2022.0,GMC,Ethanol (E85),11.0,13.0,12.0,14.0,18.0,16.0,Auto,SI,,,,4WD
