Vehicle ID,Fuel ID,Model,Model Year,Fuel
13044,45,NSX                                                ,2022,Hybrid Electric              
12854,45,A3                                                 ,2022,Hybrid Electric              
12842,45,A3 quattro                                         ,2022,Hybrid Electric              
12783,45,A4 allroad quattro                                 ,2022,Hybrid Electric              
12782,45,A4 quattro                                         ,2022,Hybrid Electric              
12784,45,A4 S line quattro                                  ,2022,Hybrid Electric              
12786,45,A5 Cabriolet quattro                               ,2022,Hybrid Electric              
12785,45,A5 Coupe quattro                                   ,2022,Hybrid Electric              
12787,45,A5 Sportback quattro                               ,2022,Hybrid Electric              
12788,45,A5 Sportback S line quattro                        ,2022,Hybrid Electric              
12791,45,A6 Allroad quattro                                 ,2022,Hybrid Electric              
12790,45,A6 quattro                                         ,2022,Hybrid Electric              
12789,45,A6 quattro                                         ,2022,Hybrid Electric              
12794,45,A7 quattro                                         ,2022,Hybrid Electric              
12831,57,A7 TFSI e quattro                                  ,2022,Plug-in Hybrid Electric      
12928,45,A8L quattro                                        ,2022,Hybrid Electric              
12949,41,e-tron GT                                          ,2022,Electric                     
13002,41,e-tron quattro                                     ,2022,Electric                     
12950,41,"e-tron S (20"" wheels)                           ",2022,Electric                     
12951,41,"e-tron S (21"" or 22"" wheels)                   ",2022,Electric                     
13001,41,e-tron Sportback quattro                           ,2022,Electric                     
12952,41,"e-tron S Sportback (20"" wheels)                 ",2022,Electric                     
12953,41,"e-tron S Sportback (21"" or 22"" wheels)         ",2022,Electric                     
12954,41,Q4 e-tron quattro                                  ,2022,Electric                     
12955,41,Q4 e-tron Sportback quattro                        ,2022,Electric                     
13023,45,Q5 quattro                                         ,2022,Hybrid Electric              
12795,45,Q5 S line quattro                                  ,2022,Hybrid Electric              
12796,45,Q5 Sportback S line quattro                        ,2022,Hybrid Electric              
12832,57,Q5 TFSI e quattro                                  ,2022,Plug-in Hybrid Electric      
12797,45,Q7 quattro                                         ,2022,Hybrid Electric              
12798,45,Q8 quattro                                         ,2022,Hybrid Electric              
12799,45,RS 6 Avant                                         ,2022,Hybrid Electric              
12800,45,RS7                                                ,2022,Hybrid Electric              
12956,41,RS e-tron GT                                       ,2022,Electric                     
12801,45,RS Q8                                              ,2022,Hybrid Electric              
12792,45,S6                                                 ,2022,Hybrid Electric              
12793,45,S7                                                 ,2022,Hybrid Electric              
12977,45,S8                                                 ,2022,Hybrid Electric              
13090,57,Flying Spur Hybrid                                 ,2022,Plug-in Hybrid Electric      
13067,57,330e Sedan                                         ,2022,Plug-in Hybrid Electric      
13068,57,330e xDrive                                        ,2022,Plug-in Hybrid Electric      
13069,57,530e Sedan                                         ,2022,Plug-in Hybrid Electric      
13070,57,530e xDrive Sedan                                  ,2022,Plug-in Hybrid Electric      
12859,45,540i Sedan                                         ,2022,Hybrid Electric              
12805,45,540i xDrive Sedan                                  ,2022,Hybrid Electric              
13071,57,745e xDrive                                        ,2022,Plug-in Hybrid Electric      
13047,41,"i4 eDrive40 Gran Coupe (18"" Wheels)             ",2022,Electric                     
13046,41,"i4 eDrive40 Gran Coupe (19"" Wheels)             ",2022,Electric                     
13048,41,"i4 M50 Gran Coupe (19"" Wheels)                  ",2022,Electric                     
13049,41,"i4 M50 Gran Coupe (20"" Wheels)                  ",2022,Electric                     
13050,41,"iX xDrive50 (20"" Wheels)                        ",2022,Electric                     
13051,41,"iX xDrive50 (21"" Wheels)                        ",2022,Electric                     
13052,41,"iX xDrive50 (22"" Wheels)                        ",2022,Electric                     
12855,45,M340i Sedan                                        ,2022,Hybrid Electric              
12856,45,M340i xDrive Sedan                                 ,2022,Hybrid Electric              
12804,45,M440i Convertible                                  ,2022,Hybrid Electric              
12802,45,M440i Coupe                                        ,2022,Hybrid Electric              
12857,45,M440i xDrive Convertible                           ,2022,Hybrid Electric              
